param_name,layer_num,component,param_count,relative_l2_diff
layers.22.mlp.down_proj.weight,22,ffn,22544384,0.0006232695990349279
layers.30.mlp.up_proj.weight,30,ffn,22544384,0.0005440237351977739
layers.32.self_attn.v_proj.bias,32,attention,256,1.6725081586269414e-05
layers.26.self_attn.k_proj.bias,26,attention,256,3.473551518708945e-06
layers.4.mlp.down_proj.weight,4,ffn,22544384,0.0008024675393082355
layers.8.mlp.down_proj.weight,8,ffn,22544384,0.0005610603658867255
layers.21.self_attn.v_proj.bias,21,attention,256,0.00032438603961161013
layers.29.self_attn.q_proj.bias,29,attention,2048,2.7557697229521603e-06
layers.9.self_attn.q_proj.weight,9,attention,4194304,0.0004897481327892277
layers.12.self_attn.o_proj.weight,12,attention,4194304,0.0005452903984788564
layers.27.input_layernorm.weight,27,norm,2048,0.0
layers.7.self_attn.o_proj.weight,7,attention,4194304,0.000577893174690385
layers.12.self_attn.q_proj.bias,12,attention,2048,2.9012735979409985e-06
layers.6.input_layernorm.weight,6,norm,2048,1.0643526319155835e-06
layers.13.mlp.gate_proj.weight,13,ffn,22544384,0.0005145920178719205
embed_tokens.weight,-1,embedding,311164928,0.00020423497908725612
layers.6.self_attn.v_proj.weight,6,attention,524288,0.0006421162854690938
layers.13.self_attn.v_proj.weight,13,attention,524288,0.0006904558789569001
layers.26.self_attn.k_proj.weight,26,attention,524288,0.000648568426032605
layers.24.self_attn.v_proj.bias,24,attention,256,0.00030426907600904636
layers.4.self_attn.q_proj.bias,4,attention,2048,3.426303192959864e-06
layers.27.self_attn.v_proj.weight,27,attention,524288,0.000561917964687282
layers.21.self_attn.k_proj.bias,21,attention,256,1.7697418125857752e-06
layers.1.input_layernorm.weight,1,norm,2048,9.589402506500629e-06
layers.18.mlp.gate_proj.weight,18,ffn,22544384,0.0005732026999513193
layers.1.self_attn.v_proj.bias,1,attention,256,8.51222131159757e-05
layers.27.self_attn.k_proj.bias,27,attention,256,7.685639817324022e-07
layers.15.mlp.down_proj.weight,15,ffn,22544384,0.0005548374177385473
layers.29.mlp.down_proj.weight,29,ffn,22544384,0.0005812138223265511
layers.1.mlp.up_proj.weight,1,ffn,22544384,0.0004225183772133665
layers.30.input_layernorm.weight,30,norm,2048,0.0
layers.7.self_attn.v_proj.bias,7,attention,256,0.0004836996720530537
layers.31.self_attn.q_proj.bias,31,attention,2048,3.1802580522846634e-06
layers.1.self_attn.q_proj.weight,1,attention,4194304,0.0004686331982039745
layers.14.self_attn.v_proj.bias,14,attention,256,0.00021023594762029703
layers.11.self_attn.q_proj.weight,11,attention,4194304,0.0005328232857298264
layers.9.mlp.down_proj.weight,9,ffn,22544384,0.0005829179568676414
layers.9.self_attn.v_proj.weight,9,attention,524288,0.0005447534572647311
layers.2.self_attn.o_proj.weight,2,attention,4194304,0.000625149838529755
layers.35.self_attn.v_proj.bias,35,attention,256,6.3068215332504765e-06
layers.19.self_attn.o_proj.weight,19,attention,4194304,0.000732318010136838
layers.24.self_attn.q_proj.bias,24,attention,2048,1.7415689274470975e-06
layers.34.self_attn.k_proj.weight,34,attention,524288,0.0009081658635317858
layers.2.input_layernorm.weight,2,norm,2048,6.517496720592068e-06
layers.26.post_attention_layernorm.weight,26,attention,2048,1.8333117731169695e-07
layers.14.input_layernorm.weight,14,norm,2048,1.0114083700172607e-06
layers.13.self_attn.k_proj.weight,13,attention,524288,0.00040421496235842924
layers.23.self_attn.q_proj.weight,23,attention,4194304,0.0006145202151537326
layers.12.self_attn.v_proj.bias,12,attention,256,7.436534885070117e-05
layers.7.mlp.down_proj.weight,7,ffn,22544384,0.0005861870532448165
layers.24.self_attn.v_proj.weight,24,attention,524288,0.0006166196391472816
layers.30.self_attn.v_proj.bias,30,attention,256,6.856037817195989e-05
layers.15.mlp.gate_proj.weight,15,ffn,22544384,0.000548105929001264
layers.4.self_attn.v_proj.weight,4,attention,524288,0.0006500576477926221
layers.1.self_attn.q_proj.bias,1,attention,2048,2.9947970859166074e-06
layers.33.input_layernorm.weight,33,norm,2048,1.6781296617260483e-07
layers.10.self_attn.q_proj.bias,10,attention,2048,1.7210090519640366e-06
layers.11.mlp.gate_proj.weight,11,ffn,22544384,0.0004564661617828045
layers.5.mlp.down_proj.weight,5,ffn,22544384,0.0006027151900122225
layers.23.self_attn.v_proj.bias,23,attention,256,0.0001798305592642874
layers.3.self_attn.k_proj.weight,3,attention,524288,0.00033975708426497856
layers.21.input_layernorm.weight,21,norm,2048,6.259477804904273e-07
layers.15.self_attn.v_proj.weight,15,attention,524288,0.0006295307720446523
layers.24.self_attn.k_proj.weight,24,attention,524288,0.0005954048815661414
layers.21.self_attn.k_proj.weight,21,attention,524288,0.0005954022416912926
layers.25.input_layernorm.weight,25,norm,2048,5.503899952693446e-07
layers.7.mlp.gate_proj.weight,7,ffn,22544384,0.0005149483837009493
layers.6.self_attn.k_proj.weight,6,attention,524288,0.0003941795214884304
layers.9.self_attn.v_proj.bias,9,attention,256,0.0003649259565289896
layers.6.mlp.down_proj.weight,6,ffn,22544384,0.0005468212355112423
layers.31.self_attn.k_proj.bias,31,attention,256,2.966486514926887e-06
layers.17.input_layernorm.weight,17,norm,2048,1.1519661802064185e-07
layers.22.mlp.up_proj.weight,22,ffn,22544384,0.0005895598398478313
layers.25.self_attn.q_proj.weight,25,attention,4194304,0.0006817522465849796
layers.16.post_attention_layernorm.weight,16,attention,2048,2.9149765977578807e-07
layers.11.self_attn.o_proj.weight,11,attention,4194304,0.0005565035634103354
layers.18.post_attention_layernorm.weight,18,attention,2048,8.027147812553034e-07
layers.20.self_attn.q_proj.weight,20,attention,4194304,0.0006392865880947484
layers.25.self_attn.v_proj.weight,25,attention,524288,0.0006230203861912129
