param_name,layer_num,component,param_count,relative_l2_diff,model_index
layers.21.self_attn.k_proj.weight,21,attention,524288,0.0014250409786916247,4
layers.20.mlp.gate_proj.weight,20,ffn,22544384,0.001440426212223709,4
layers.7.input_layernorm.weight,7,norm,2048,2.590873509042752e-06,4
layers.7.self_attn.o_proj.weight,7,attention,4194304,0.001265444892269682,4
layers.28.input_layernorm.weight,28,norm,2048,6.729518121276597e-07,4
layers.14.mlp.down_proj.weight,14,ffn,22544384,0.0013304296401962176,4
layers.12.self_attn.q_proj.bias,12,attention,2048,6.098768025160374e-06,4
layers.16.mlp.up_proj.weight,16,ffn,22544384,0.001341283902096983,4
layers.21.self_attn.v_proj.bias,21,attention,256,0.0006358498783205022,4
layers.31.self_attn.v_proj.weight,31,attention,524288,0.0013278885988554671,4
layers.32.mlp.down_proj.weight,32,ffn,22544384,0.0012301838737674368,4
layers.17.self_attn.v_proj.weight,17,attention,524288,0.0015390602562117691,4
layers.15.input_layernorm.weight,15,norm,2048,0.0,4
layers.1.mlp.down_proj.weight,1,ffn,22544384,0.0010325654668731747,4
layers.32.self_attn.v_proj.bias,32,attention,256,2.8787781943973402e-05,4
layers.24.mlp.down_proj.weight,24,ffn,22544384,0.0014715022496689678,4
layers.5.self_attn.q_proj.bias,5,attention,2048,5.6229072735377435e-06,4
layers.1.self_attn.q_proj.weight,1,attention,4194304,0.0008344180223852776,4
layers.12.mlp.up_proj.weight,12,ffn,22544384,0.0013030313750854196,4
layers.26.self_attn.k_proj.bias,26,attention,256,1.0483053606940414e-05,4
layers.34.mlp.up_proj.weight,34,ffn,22544384,0.0011657280414080129,4
layers.25.self_attn.k_proj.bias,25,attention,256,1.223240764491693e-05,4
layers.29.self_attn.o_proj.weight,29,attention,4194304,0.001448113338265887,4
layers.24.post_attention_layernorm.weight,24,attention,2048,4.3668290814598065e-07,4
layers.31.self_attn.k_proj.bias,31,attention,256,7.699303815532228e-06,4
layers.29.self_attn.q_proj.bias,29,attention,2048,8.09689350295902e-06,4
layers.18.mlp.up_proj.weight,18,ffn,22544384,0.0013879379741286542,4
layers.11.self_attn.q_proj.weight,11,attention,4194304,0.001204872452297425,4
layers.13.self_attn.q_proj.bias,13,attention,2048,8.03290475092274e-06,4
layers.17.self_attn.q_proj.bias,17,attention,2048,5.7366503096938035e-06,4
layers.17.mlp.gate_proj.weight,17,ffn,22544384,0.001392360443134787,4
layers.24.input_layernorm.weight,24,norm,2048,0.0,4
layers.19.self_attn.k_proj.weight,19,attention,524288,0.0011912069374410254,4
layers.33.self_attn.k_proj.weight,33,attention,524288,0.002291342905735687,4
layers.6.post_attention_layernorm.weight,6,attention,2048,1.1065070300525927e-06,4
layers.35.self_attn.v_proj.weight,35,attention,524288,0.0009175535054607623,4
layers.13.self_attn.q_proj.weight,13,attention,4194304,0.0012030196677657865,4
layers.13.mlp.down_proj.weight,13,ffn,22544384,0.0012839394730345974,4
layers.1.mlp.gate_proj.weight,1,ffn,22544384,0.0006778559203204905,4
layers.25.self_attn.o_proj.weight,25,attention,4194304,0.0014774267319055561,4
layers.26.mlp.gate_proj.weight,26,ffn,22544384,0.0015044970375282108,4
layers.11.input_layernorm.weight,11,norm,2048,8.721934929753173e-07,4
layers.14.self_attn.q_proj.weight,14,attention,4194304,0.0011763141879782518,4
layers.19.post_attention_layernorm.weight,19,attention,2048,2.1582960456278435e-07,4
layers.12.self_attn.v_proj.bias,12,attention,256,0.000100616509283421,4
layers.15.post_attention_layernorm.weight,15,attention,2048,2.4563970619073283e-06,4
layers.28.self_attn.q_proj.weight,28,attention,4194304,0.0015236092348101893,4
layers.7.self_attn.q_proj.weight,7,attention,4194304,0.0011574559185975985,4
layers.16.input_layernorm.weight,16,norm,2048,2.4202172844512176e-06,4
layers.34.self_attn.v_proj.weight,34,attention,524288,0.0008389337412272228,4
